Question,Answer,Question-Hindi,Answer-Hindi,GUID,Send
Are all exercises safe for a pregnant woman?,"Not all exercises are safe during pregnancy. Certain exercises can be beneficial for the mother and baby's health, but others might pose risks. In the second and third trimester, high-intensity workouts, contact sports, and exercises that involve lying flat on the back or could involve abdominal trauma are generally not recommended as it can cause fainting, premature labour, or even miscarriage.",क्या सभी व्यायाम एक गर्भवती महिला के लिए सुरक्षित हैं?,"गर्भावस्था के दौरान सभी व्यायाम सुरक्षित नहीं हैं।कुछ अभ्यास मां और बच्चे के स्वास्थ्य के लिए फायदेमंद हो सकते हैं, लेकिन अन्य जोखिम पैदा कर सकते हैं। दूसरी और तीसरी तिमाही में, उच्च-तीव्रता वाले वर्कआउट, संपर्क खेल, और अभ्यास जिसमें  पीठ पर लेटते हैं या पेट के आघात को शामिल कर सकते हैं, आमतौर पर अनुशंसित नहीं होते हैं क्योंकि यह बेहोशी, समय से पहले श्रम, या गर्भपात का कारण बन सकता है।",5147a516-6199-4135-bd82-5e815e0bf505,False
What to do if a pregnant woman weighs less than 45 kgs?,"If a pregnant woman weighs less than 45 kg, she may be undernourished. It is important to ensure that she gets more food, takes rest and does not have to do heavy manual work during pregnancy. She should eat a nutritious diet rich in iron, calcium and protein. This includes green, leafy vegetables like palak and sarson, dals, milk, jaggery, eggs, fish, meat, etc. She should also be given 360 tablets of calcium. However, it is also recommended to consult a doctor for proper guidance.",अगर एक गर्भवती महिला का वजन 45 किलोग्राम से कम हो तो क्या करें?,"यदि एक गर्भवती महिला का वजन 45 किलोग्राम से कम है, तो वह कम हो सकती है।यह सुनिश्चित करना महत्वपूर्ण है कि वह अधिक भोजन प्राप्त करती है, आराम करती है और गर्भावस्था के दौरान भारी काम करने की आवश्यकता नहीं है। उसे आयरन, कैल्शियम और प्रोटीन से भरपूर एक पौष्टिक आहार खाना चाहिए।इसमें हरी, पत्तेदार सब्जियां जैसे पालक  और सरसन, दाल, दूध, गुड़, अंडे, मछली, मांस आदि शामिल हैं। उसे कैल्शियम की 360 गोलियां भी दी जानी चाहिए।हालांकि, यह भी उचित मार्गदर्शन के लिए एक डॉक्टर से परामर्श करने की सिफारिश की जाती है।",1d47aa53-6385-4ab0-b8a1-679833e3fff6,False
Why should we discourage bottle feeding of babies?,"Bottle feeding should be discouraged because it can lead to several health issues in infants. Firstly, the milk from animals like cows and goats may be too dilute, leading to malnutrition in the baby. Secondly, such milk does not provide enough iron, which can cause anaemia in the baby. Thirdly, the baby may develop allergies or have difficulty digesting animal milk, which can cause symptoms like diarrhoea, rashes, etc. Moreover, bottle feeding can also increase the risk of infection as it may not be as clean and free from bacteria as breast milk.",हमें शिशुओं की बोतल खिलाने को हतोत्साहित क्यों करना चाहिए?,"बॉटल से दूध नहीं पिलाना चाहिए क्योंकि यह शिशुओं में कई स्वास्थ्य समस्याएं पैदा कर सकता है। गायों और बकरियों का दूध बहुत पतला हो सकता है, जिससे बच्चे को पोषण की कमी हो सकती है। इसके अलावा, ऐसा दूध पर्याप्त आयरन नहीं देता, जिससे बच्चे में एनीमिया हो सकता है। बच्चे को जानवरों के दूध से एलर्जी भी हो सकती है या इसे पचाने में मुश्किल हो सकती है, जिससे दस्त, रैशेज आदि जैसे लक्षण हो सकते हैं। इसके साथ ही, बॉटल से दूध पिलाने से संक्रमण का जोखिम भी बढ़ सकता है, क्योंकि यह माँ के दूध की तरह साफ और बैक्टीरिया मुक्त नहीं होती।",50f0f0be-dd96-4361-bda1-cdff7172d4dd,False
What do I do if my baby is crying for more than three hours?,"If the baby is crying incessantly for more than three hours, it could be a sign of discomfort or illness. You should advise the mother to feed the baby, check if the baby is comfortable and sooth, sway, shush, and hold the baby. If the crying continues, then it is critical to bring the child to the nearest health facility with a medical officer in charge for examination. This could be a sign of a serious infection in the brian of the baby which requires IV antibiotics and if left untreated could lead to permanent disability or death.",अगर मेरा बच्चा तीन घंटे से अधिक समय तक रो रहा है तो मैं क्या करूं?,"अगर बच्चा तीन घंटे से लगातार रो रहा है, तो यह असुविधा या बीमारी का संकेत हो सकता है। ऐसे में माँ को सलाह दें कि वह बच्चे को दूध पिलाए, देखें कि बच्चा आरामदायक है या नहीं, और उसे लोरी गाकर, झुलाकर या गोद में लेकर शांत करने की कोशिश करें। अगर बच्चा फिर भी रोता है, तो तुरंत बच्चे को नजदीकी स्वास्थ्य केंद्र ले जाना जरूरी है, जहां एक चिकित्सा अधिकारी उसकी जांच कर सके। लगातार रोना बच्चे के दिमाग में गंभीर संक्रमण का संकेत हो सकता है, जिसके लिए IV एंटीबायोटिक्स की जरूरत पड़ सकती है। अगर इसका इलाज न किया गया, तो यह स्थायी विकलांगता या मौत का कारण बन सकता है।",940ab739-90f8-4e5a-aa7a-19981639cea1,False
What is the dosage of paracetamol for a child above 5 years?,"For a child above 5 years, the dosage of paracetamol is as follows: If the child's weight is between 14-19 kgs (typically 3-5 years old), give half a tablet (225mg) or 1 teaspoon of a 250g/5ml liquid every 6-8 hours. If the child is more than 5 years old and weighs more than 19 kgs, you can refer to the dosage for children aged 8-12 years, which is 1 tablet 3 to 4 times a day. However, it's always best to consult with a healthcare professional for accurate dosage based on the child's weight and overall health.",5 साल से ऊपर के बच्चे के लिए पेरासिटामोल की खुराक क्या है?,"5 साल से ऊपर के बच्चे के लिए, पेरासिटामोल की खुराक इस प्रकार है: यदि बच्चे का वजन 14-19 किलोग्राम (आमतौर पर 3-5 वर्ष पुराना) के बीच है, तो आधा टैबलेट (225mg) या 1 चम्मच 250g/5ml तरल देंहर 6-8 घंटे।यदि बच्चा 5 साल से अधिक है और इसका वजन 19 किलोग्राम से अधिक है, तो आप 8-12 वर्ष की आयु के बच्चों के लिए खुराक का उल्लेख कर सकते हैं, जो दिन में 3 से 4 बार 1 टैबलेट है।हालांकि, बच्चे के वजन और समग्र स्वास्थ्य के आधार पर सटीक खुराक के लिए एक हेल्थकेयर पेशेवर के साथ परामर्श करना हमेशा सबसे अच्छा होता है।",e457617c-13de-4fc2-8177-9ea6fefb1c3f,False
What to do if a pregnant woman is HIV positive?,"If a pregnant woman is HIV positive, it is important to provide her with proper counselling and medical care. Encourage her to go to a district hospital where HIV testing and management facilities are available free of cost. She should undertake Prevention of Parent to Child Transmission (PPTCT) therapy to reduce the risk of transmitting HIV to her baby. Additionally, she should be provided with blood tests and necessary drugs. Emphasize the use of condoms and partner management, and ensure early detection and treatment of any STIs.",अगर एक गर्भवती महिला एचआईवी पॉजिटिव है तो क्या करें?,"यदि एक गर्भवती महिला एचआईवी पॉजिटिव है, तो उसे उचित परामर्श और चिकित्सा देखभाल प्रदान करना महत्वपूर्ण है।उसे एक जिला अस्पताल में जाने के लिए प्रोत्साहित करें जहां एचआईवी परीक्षण और प्रबंधन सुविधाएं मुफ्त में उपलब्ध हैं।उसे अपने बच्चे को एचआईवी को संचारित करने के जोखिम को कम करने के लिए माता -पिता को चाइल्ड ट्रांसमिशन (PPTCT) थेरेपी की रोकथाम करना चाहिए।इसके अतिरिक्त, उसे रक्त परीक्षण और आवश्यक दवाओं के साथ प्रदान किया जाना चाहिए।कंडोम और भागीदार प्रबंधन के उपयोग पर जोर दें, और किसी भी एसटीआई का प्रारंभिक पता लगाने और उपचार सुनिश्चित करें।",31fde41e-e53c-494c-8bb0-738712d7b029,False
Why does anemia deficiency happen only to women?,"Anemia does not only happen to women, it can occur in anyone regardless of gender. However, women, especially pregnant women and adolescents, are often at a higher risk due to factors such as menstrual bleeding, insufficient intake of iron, folate and foods rich in Vitamin C, and frequent episodes of illnesses. It's important to note that anyone with a diet deficient in iron can develop anemia.",एनीमिया की कमी केवल महिलाओं के लिए क्यों होती है?,"एनीमिया केवल महिलाओं के साथ नहीं होता है, यह  किसी में भी हो सकता है।हालांकि, महिलाओं, विशेष रूप से गर्भवती महिलाओं और किशोरों, अक्सर मासिक धर्म रक्तस्राव, लोहे के अपर्याप्त सेवन, फोलेट और विटामिन सी से समृद्ध खाद्य पदार्थों और बीमारियों के लगातार एपिसोड जैसे कारकों के कारण उच्च जोखिम में होते हैं।यह ध्यान रखना महत्वपूर्ण है कि लोहे में आहार की कमी वाला कोई भी व्यक्ति एनीमिया विकसित कर सकता है।",034003f1-bfd6-4694-b302-c49469edb73d,False
What should be done if a pregnant woman's BP is high?,"If a pregnant woman has high blood pressure, an ANM should check her blood pressure again after rest and test her urine for signs of pre-eclampsia. Pre-eclampsia is a life-threatening condition linked to high blood pressure and the presence of albumin in the urine. The woman should be referred to an MOIC if needed, who will create a treatment plan with medications and advice, such as avoiding salty foods. The ASHA should support the woman in following the treatment and making lifestyle changes. It's also important to know that the mother's blood pressure is expected to change in pregnancy in order to support the fetus, with high blood pressures expected most in the third trimester.",एक गर्भवती महिला का बीपी अधिक होने पर क्या किया जाना चाहिए?,"यदि एक गर्भवती महिला को उच्च रक्तचाप होता है, तो एक एएनएम को आराम के बाद फिर से अपने रक्तचाप की जांच करनी चाहिए और प्री-एक्लेम्पसिया के संकेतों के लिए उसके मूत्र का परीक्षण करना चाहिए।प्री-एक्लेम्पसिया उच्च रक्तचाप और मूत्र में एल्ब्यूमिन की उपस्थिति से जुड़ी एक जीवन-धमकी की स्थिति है।यदि आवश्यक हो तो महिला को एक एमओआईसी के पास भेजा जाना चाहिए, जो दवाओं और सलाह के साथ एक उपचार योजना बनाएगा, जैसे कि नमकीन खाद्य पदार्थों से बचने के लिए।आशा को उपचार का पालन करने और जीवन शैली में बदलाव करने में महिला का समर्थन करना चाहिए।यह जानना भी महत्वपूर्ण है कि भ्रूण का समर्थन करने के लिए मां के रक्तचाप को गर्भावस्था में बदलने की उम्मीद है, तीसरी तिमाही में उच्च रक्त दबावों की अपेक्षित है।",b70486e7-9620-4d9d-a7d9-b493529b1e4e,False
Which free medicines are available to pregnant women?,"Under the Janani Shishu Suraksha Karyakram, pregnant women are entitled to several free services in government health institutions. These include free and cashless delivery, free caesarian section, free drugs and consumables (like iron folic acid, calcium, albendazole, tetanus vaccines, iron sucrose infusions, and antibiotics), free diagnostics (blood tests, urine tests and ultrasonography, etc.), free provision of blood. Also, tablets for the prevention of anaemia are available in your drug kit, which can be given to pregnant women.",गर्भवती महिलाओं के लिए कौन सी मुफ्त दवाएं उपलब्ध हैं?,"जननी शिशु सुरक्षा कार्यक्रम  के तहत, गर्भवती महिलाएं सरकारी स्वास्थ्य संस्थानों में कई मुफ्त सेवाओं की हकदार हैं।इनमें मुफ्त और कैशलेस डिलीवरी, मुफ्त सीज़ेरियन सेक्शन, फ्री ड्रग्स और कंज्यूम्स (जैसे आयरन फोलिक एसिड, कैल्शियम, अल्बेंडाजोल, टेटनस टीके, आयरन सुक्रोज इन्फ्यूजन, और एंटीबायोटिक्स), फ्री डायग्नोस्टिक्स (रक्त परीक्षण, मूत्र परीक्षण और अल्ट्रासोनोग्राफी, आदि) शामिल हैं।, रक्त का मुफ्त प्रावधान।इसके अलावा, एनीमिया की रोकथाम के लिए टैबलेट आपके ड्रग किट में उपलब्ध हैं, जो गर्भवती महिलाओं को दी जा सकती है।",8cc9f35b-4dea-4c15-b024-95e6deb50597,False
Which fruits and vegetables are nutritious for the mother?,"Locally-produced, seasonal pesticide-free, varied fruits and vegetables are beneficial for a mother. Nutritious fruits include orange, apple, citrus fruits, mangoes, banana, and amla. Nutritious vegetables include green leafy vegetables like palak and sarson, and dark green vegetables, and bhindi, gajar, and tomatoes.",मां के लिए कौन से फल और सब्जियां पौष्टिक हैं?,"स्थानीय रूप से उत्पादित, मौसमी कीटनाशक-मुक्त, विविध फल और सब्जियां एक माँ के लिए फायदेमंद हैं।पौष्टिक फलों में नारंगी, सेब, खट्टे फल, आम, केला और आंवला शामिल हैं।पौष्टिक सब्जियों में हरी पत्तेदार सब्जियां जैसे पलाक और सरसन, और  हरी सब्जियां, और भिंडी, गाजर और टमाटर शामिल हैं।",036967fe-b40d-4e38-a91a-cc9aa7f35a51,False
