GUID,Question,Correct Answer
3282e1a3-3d62-4ea2-8eae-7a0cf494bd3d,विश्व पर्यावरण दिवस कब मनाया जाता है?*,5 जून
2eb8cc69-874d-4780-b588-b6b96ff96f54,वर्ष 2024 में विश्व पर्यावरण दिवस किस थीम पर मनाया जा रहा है?,"हमारी भूमि, हमारा भविष्य, हम जनरेशन रिस्टोरेशन है"
e8040039-661d-4a1e-a594-1e602c73ccb7,विश्व पर्यावरण दिवस वर्ष 2024 की थीम किस विषय पर प्रेरित करती है,भूमि और पारिस्थितिकी तंत्र का संरक्षण
695d6980-f130-4ea0-8f21-15e1b0cd1abc,विश्व पर्यावरण दिवस पर आम जन में जलवायु परिवर्तन से मानव स्वास्थ्य पर प्रभाव के सम्बन्ध में जागरूकता लाने के लिए कौन सी गतिविधियाँ की जा सकती है?,"उपरोक्त सभी: उपलब्ध आई. ई. सी. का प्रदर्शन, अनुकूल समय अनुसार वी.एच.एस.एन.सी. की बैठक में चर्चा करना"
f09f150f-3049-41eb-a5f6-557f085405d2,"क्या स्वच्छता, साफ पानी, अच्छे आहार और अच्छी जीवन शैली के प्रोत्साहन से जलवायु परिवर्तन के दुष्प्रभावों को कम किया जा सकता है?",हाँ
06b45ff9-466a-444f-810d-7093bae10203,लू- तापघात से सम्बन्धी कार्य योजना बनाने का क्या उद्देश्य है?,"उपरोक्त सभी: लू- तापघात के प्रभावों की समय रहते पहचान करना, लू- तापघात के प्रभावों से निपटने के लिए आवश्यक संसाधन जुटाना"
2ee058a4-9cdd-46ed-9d8a-5fad2d9adf2c,हीटस्ट्रोक का प्रमुख लक्षण क्या होता है?,"उपरोक्त सभी:श्वास लेने में दिक्कत, शरीर का अत्यधिक तापमान(40°C) से अधिक"
d5f6e6cb-f893-4328-bd23-0e10035c17ff,हीटस्ट्रोक को कैसे निदान और उपचार किया जा सकता है ?,"उपरोक्त सभी: शरीर को ठंडा करना, डॉक्टर से परामर्श"
4159f39c-4018-4d79-b45c-01e23a6d1b22,चिकित्सा संस्थान को लू तापघात की चिकित्सा उपचार के लिए क्या तैयारी करनी चाहिए ?,"उपरोक्त सभी: डॉक्टर और नर्सिंग स्टाफ को हीटस्ट्रोक और सम्बंधित चिकित्सा के बारे में प्रशिक्षित करना, आवश्यक दवाइयों की उपलब्धता सुनिश्चित करना और  बैड आरक्षित करना"
2d9e1274-68e7-48b9-aeb9-cd8a7477e7bf,लू तापघात के मरीज की प्राथमिक चिकित्‍सा के लिए टेको पद्धति अपनाई जानी चाहिये। क्‍या यह सही है,हां
bfc164f8-674f-465b-94c2-f5b761e0bd3d,जलवायु परिवर्तन के कारण कौन-कौन सी बीमारियाँ और स्वास्थ्य समस्याएँ बढ़ सकती हैं?,"उपरोक्त सभी: साँस सम्बंधित गंभीर बीमारियाँ, मलेरिया और डेंगू जैसी बीमारियाँ"
d442c9b8-19e1-48d3-88fb-3b22dc1abacc,जलवायु परिवर्तन के कारण किन किन परिस्थियों से मानव स्वास्थ्य को खतरा हो सकता है?,"उपरोक्त सभी: सामान्य से अधिक गर्मी अथवा लू, अतिवृष्ठी अथवा बाढ़"
4a213c62-05d3-4a63-99f0-665ba29c5f0d,जलवायु परिवर्तन से मानव स्वास्थ्य पर होने वाले दुष्प्रभावों प्रभावों को रोकने या कम करने के लिए स्वास्थ्य कार्यकर्ताओं की भूमिका से संबंधित गलत कथन है,इस विषय पर कार्य करना स्वास्थ्य कार्यकर्ताओं की जिम्मेदारी नहीं है
